cluster,cluster_index,horizon,interval_start_at_inference_time,interval_start_when_prediction_relevant,true_count,prediction,lower,upper
H,7,12,2024-02-23,2024-05-17,0.0,0.10238039493560791,0.0,1.9416463375091553
H,7,12,2024-03-01,2024-05-24,0.0,0.14319901168346405,0.0,1.9824649095535278
H,7,12,2024-03-08,2024-05-31,0.0,0.24609702825546265,0.0,2.0853629112243652
H,7,12,2024-03-15,2024-06-07,0.0,0.5089104175567627,0.0,2.3481764793395996
H,7,12,2024-03-22,2024-06-14,0.0,1.1303330659866333,0.0,2.9695990085601807
H,7,12,2024-03-29,2024-06-21,0.0,1.5282275676727295,0.0,3.3674936294555664
H,7,12,2024-04-05,2024-06-28,0.0,1.4760372638702393,0.0,3.315303325653076
H,7,12,2024-04-12,2024-07-05,0.0,1.8798085451126099,0.0,3.7190744876861572
H,7,12,2024-04-19,2024-07-12,0.0,1.4534350633621216,0.0,3.292701005935669
H,7,12,2024-04-26,2024-07-19,1.0,1.6545151472091675,0.0,3.493781089782715
H,7,12,2024-05-03,2024-07-26,7.0,1.3192991018295288,0.0,3.158565044403076
H,7,12,2024-05-10,2024-08-02,34.0,1.4163846969604492,0.0,3.255650520324707
H,7,12,2024-05-17,2024-08-09,22.0,1.8012439012527466,0.0,3.640509843826294
H,7,12,2024-05-24,2024-08-16,2.0,2.1723344326019287,0.0,4.011600494384766
H,7,12,2024-05-31,2024-08-23,0.0,1.773923635482788,0.0,3.613189697265625
H,7,12,2024-06-07,2024-08-30,1.0,2.8812596797943115,0.0,4.720525741577148
H,7,12,2024-06-14,2024-09-06,1.0,4.946948528289795,0.0,6.786214351654053
H,7,12,2024-06-21,2024-09-13,1.0,6.0126142501831055,0.08756113052368164,7.851880073547363
H,7,12,2024-06-28,2024-09-20,1.0,5.131811618804932,0.0,6.9710774421691895
H,7,12,2024-07-05,2024-09-27,0.0,3.624272346496582,0.0,5.46353816986084
H,7,12,2024-07-12,2024-10-04,1.0,3.6783065795898438,0.0,5.517572402954102
H,7,12,2024-07-19,2024-10-11,0.0,2.297208547592163,0.0,4.136474609375
H,7,12,2024-07-26,2024-10-18,1.0,1.7314672470092773,0.0,3.570733070373535
H,7,12,2024-08-02,2024-10-25,0.0,2.521549701690674,0.0,4.360815525054932
H,7,12,2024-08-09,2024-11-01,0.0,5.650191783905029,0.0,11.330892562866211
H,7,12,2024-08-16,2024-11-08,0.0,6.927074909210205,1.0020217895507812,39.51068878173828
H,7,12,2024-08-23,2024-11-15,0.0,2.8793723583221436,0.0,35.46298599243164
H,7,12,2024-08-30,2024-11-22,1.0,2.1534581184387207,0.0,34.7370719909668
H,7,12,2024-09-06,2024-11-29,0.0,2.25390887260437,0.37410032749176025,34.8375244140625
H,7,12,2024-09-13,2024-12-06,0.0,1.179177165031433,0.0,33.76279067993164
H,7,12,2024-09-20,2024-12-13,0.0,0.6431137919425964,0.0,33.22672653198242
H,7,12,2024-09-27,2024-12-20,0.0,1.7205084562301636,0.0,34.30412292480469
H,7,12,2024-10-04,2024-12-27,0.0,0.5216638445854187,0.0,33.10527801513672
H,7,12,2024-10-11,2025-01-03,0.0,0.07328277826309204,0.0,32.656898498535156
H,7,12,2024-10-18,2025-01-10,0.0,0.09525538235902786,0.0,32.678871154785156
H,7,12,2024-10-25,2025-01-17,0.0,0.21451351046562195,0.0,32.798126220703125
H,7,12,2024-11-01,2025-01-24,0.0,0.26684460043907166,0.0,32.850460052490234
H,7,12,2024-11-08,2025-01-31,0.0,0.18288427591323853,0.0,32.76649856567383
H,7,12,2024-11-15,2025-02-07,0.0,0.10481120645999908,0.0,32.68842697143555
H,7,12,2024-11-22,2025-02-14,0.0,0.052043113857507706,0.0,32.635658264160156
H,7,12,2024-11-29,2025-02-21,0.0,0.05359044671058655,0.0,32.637203216552734
