,barangay,cluster,area_km2,lon,lat
84,Quirino 2-A,I,0.1724774155441107,121.05907417514247,14.630397755422155
85,Quirino 2-B,I,0.14881153062333616,121.0618405007599,14.63225906645478
86,Quirino 2-C,I,0.08627498582231895,121.06305101940086,14.634748505754525
87,Quirino 3-A,I,0.05569384645195905,121.06360622017161,14.628660412724301
88,Saint Ignatius,I,0.2598210720218697,121.07291479995605,14.61285104751676
89,San Roque,I,0.6504654646819313,121.06213188300703,14.619111951628389
90,San Vicente,I,0.12116314413961367,121.05579060234976,14.653166235994332
91,Sikatuna Village,I,0.4149941767790543,121.05922928690212,14.63806737219519
92,Silangan,I,0.2264002046166358,121.05879331642205,14.627528663105554
93,Tagumpay,I,0.0984108342001084,121.0636451766648,14.622267990827467
94,Teachers Village East,I,0.21809705181130026,121.0593115142839,14.644333689887945
95,Teachers Village West,I,0.23306222273131807,121.05623750622088,14.642679932724446
96,U.P. Campus,I,4.402603265592535,121.06479416397455,14.6539802606606
97,U.P. Village,I,0.3760322782885669,121.05630552338583,14.64888506195327
98,Villa Maria Clara,I,0.0847638435667259,121.06878360068885,14.616560966469496
99,West Kamias,I,0.18132271632036276,121.04930614616417,14.630446267061963
100,White Plains,I,0.5705693411596221,121.07267141374035,14.60618024869558
101,Bagong Silangan,J,6.698837920390345,121.11340870342593,14.709812126196532
102,Pasong Putik Proper (Pasong Putik),J,27.52363017699964,121.09571203268277,14.740352265751055
103,Payatas,J,3.148021932184907,121.10065119409334,14.711526307845041
104,Batasan Hills,K,5.93999787601314,121.09818653937283,14.683435378823402
105,Baesa,L,1.97189044068096,121.01156353927404,14.669647152897873
106,Sangandaan,L,0.8926759124052347,121.0204107366936,14.674640887871146
107,Culiat,M,2.635177963928986,121.05494701255563,14.66777625760999
108,Pasong Tamo,M,4.94952631626097,121.05870092150501,14.681459111761141
109,Aurora,N,0.12782887854827762,121.0091634247117,14.616246913257013
110,Bagong Lipunan Ng Crame,N,0.9200628719622913,121.05081962771378,14.61065579907175
111,Camp Aguinaldo,N,1.8322585367655047,121.06372765072696,14.607265860767006
112,Kristong Hari,N,0.33911882355667955,121.0306197256185,14.624815810674209
113,Damayang Lagi,N,0.8034283147547009,121.02327060358277,14.616050354867687
114,Doña Imelda,N,0.9290819629857611,121.01720585475076,14.61300605551741
115,Doña Josefa,N,0.28181380683241575,121.00677536342506,14.620010747247205
116,Don Manuel,N,0.23763243100727077,121.00518363451108,14.616349548332416
117,Horseshoe,N,0.42077460064095057,121.04194515503673,14.61259043235618
118,Immaculate Concepcion,N,0.5099648877654008,121.04432315798464,14.622369326748277
119,Kamuning,N,0.43784534381273044,121.03971467201666,14.627779955431338
120,Kaunlaran,N,0.5052367671646257,121.04408334600639,14.616890750856664
121,Laging Handa,N,0.6235210565170552,121.03058752368243,14.632504505150074
122,Mariana,N,1.6641076812592288,121.0333129205892,14.618985596868947
123,Obrero,N,0.2503727343301756,121.02974839374124,14.628280376698354
124,Pinagkaisahan,N,0.33514225302524525,121.04421326817496,14.626005314358393
125,Sacred Heart,N,0.5716436822311578,121.0388453764273,14.631397293110172
126,San Isidro,N,0.13197236906868134,121.00833394365833,14.612894998194559
127,San Martin de Porres,N,0.20767981383048456,121.04977555320653,14.617561387772758
128,Santo Niño,N,0.19344805692616768,121.01176332078047,14.611073924146917
129,Santol,N,0.44138598262834017,121.01530306500285,14.610450483083275
130,Socorro,N,1.1771764769262323,121.05640807231255,14.617513757087819
131,South Triangle,N,1.1241333899357855,121.03609545996942,14.63793834262606
132,Ugong Norte,N,2.779574824926751,121.0710797007073,14.596621109782314
133,Valencia,N,0.4368986908972604,121.03650064778368,14.610758650758923
134,Gulod,O,1.2772461315722963,121.0409844899519,14.711593242936438
135,Kaligayahan,O,2.455405876181613,121.04592340236758,14.73457970222496
136,Nagkaisang Nayon,O,2.7178948425005696,121.02508783571754,14.718881001976428
137,Novaliches Proper,O,0.6249782843362722,121.03743592813053,14.720643452337539
138,San Agustin,O,1.1692728871030438,121.0343875048374,14.730169664871518
139,San Bartolome,O,3.5884948943156325,121.03096435910089,14.706277394876846
140,Santa Monica,O,1.6522687298969028,121.04625790421464,14.71904452380531
141,Capri,O,0.0942875249185407,121.0284769537558,14.716798806084695
