,barangay,cluster,area_km2,lon,lat,district
95,Teachers Village West,I,0.233062222731318,121.05623750622088,14.642679932724446,4
96,U.P. Campus,I,4.402603265592535,121.06479416397455,14.6539802606606,4
97,U.P. Village,I,0.3760322782885669,121.05630552338584,14.64888506195327,4
98,Villa Maria Clara,I,0.0847638435667259,121.06878360068885,14.616560966469496,3
99,West Kamias,I,0.1813227163203627,121.04930614616416,14.630446267061965,3
100,White Plains,I,0.5705693411596221,121.07267141374037,14.60618024869558,3
101,Bagong Silangan,J,6.698837920390345,121.11340870342592,14.709812126196532,2
102,Pasong Putik Proper (Pasong Putik),J,27.52363017699964,121.09571203268275,14.740352265751056,5
103,Payatas,J,3.148021932184907,121.10065119409334,14.71152630784504,2
104,Batasan Hills,K,5.93999787601314,121.09818653937285,14.683435378823402,2
105,Baesa,L,1.97189044068096,121.01156353927404,14.669647152897872,6
106,Sangandaan,L,0.8926759124052347,121.0204107366936,14.674640887871146,6
107,Culiat,M,2.635177963928986,121.05494701255564,14.66777625760999,6
108,Pasong Tamo,M,4.94952631626097,121.058700921505,14.68145911176114,6
109,Aurora,N,0.1278288785482776,121.0091634247117,14.616246913257012,4
110,Bagong Lipunan Ng Crame,N,0.9200628719622912,121.05081962771378,14.61065579907175,4
111,Camp Aguinaldo,N,1.8322585367655049,121.06372765072696,14.607265860767006,3
112,Kristong Hari,N,0.3391188235566795,121.0306197256185,14.624815810674209,4
113,Damayang Lagi,N,0.8034283147547009,121.02327060358276,14.616050354867689,4
114,Doña Imelda,N,0.9290819629857612,121.01720585475076,14.61300605551741,4
115,Doña Josefa,N,0.2818138068324157,121.00677536342506,14.620010747247203,4
116,Don Manuel,N,0.2376324310072707,121.00518363451108,14.616349548332416,4
117,Horseshoe,N,0.4207746006409505,121.04194515503671,14.61259043235618,4
118,Immaculate Concepcion,N,0.5099648877654008,121.04432315798464,14.622369326748275,4
119,Kamuning,N,0.4378453438127304,121.03971467201666,14.627779955431338,4
120,Kaunlaran,N,0.5052367671646257,121.0440833460064,14.616890750856664,4
121,Laging Handa,N,0.6235210565170552,121.03058752368244,14.632504505150074,4
122,Mariana,N,1.6641076812592288,121.0333129205892,14.618985596868947,4
123,Obrero,N,0.2503727343301756,121.02974839374124,14.628280376698354,4
124,Pinagkaisahan,N,0.3351422530252452,121.04421326817496,14.626005314358393,4
125,Sacred Heart,N,0.5716436822311578,121.0388453764273,14.631397293110172,4
126,San Isidro,N,0.1319723690686813,121.00833394365831,14.61289499819456,4
127,San Martin de Porres,N,0.2076798138304845,121.04977555320652,14.617561387772758,4
128,Santo Niño,N,0.1934480569261676,121.01176332078047,14.611073924146917,4
129,Santol,N,0.4413859826283401,121.01530306500284,14.610450483083277,4
130,Socorro,N,1.1771764769262325,121.05640807231256,14.61751375708782,3
